,Title,URL,Views,Likes,Dislikes,Score
41, quot Never Again quot How fascism hijacks democracies over and over Rob Riemen YouTube,https://www.youtube.com/watch?v=ye4jKSNHhms,34961,1717,314,24.91874554526016
42,Genius Is Not about Excelling at Something xe2 x80 x94It 39 s about Doing Things Differently Eric We,https://www.youtube.com/watch?v=EzdLBGPidAM,146696,5933,113,25.20549828178694
43,Michio Kaku predicts asteroid mining will happen sooner than you think YouTube,https://www.youtube.com/watch?v=rR_wu3KaTsc,25870,1043,26,25.43756145526057
44,From 300lbs to a Navy SEAL How to Gain Control of Your Mind and Life David Goggins YouTube,https://www.youtube.com/watch?v=u7Y0Q0DLQDs,125995,5022,95,25.572356403490968
45,How we 39 ll find humanity 39 s next home planet Michio Kaku YouTube,https://www.youtube.com/watch?v=XJaJPIvx6mw,19648,791,27,25.717277486910994
46,Want to Make Better Decisions Know the Difference between Engineering and Design Thinking YouTube,https://www.youtube.com/watch?v=q7LRxKHdao8,57461,2252,45,26.035795197100136
47,YOU ARE NOT DEPRESSED STOP IT YouTube,https://www.youtube.com/watch?v=ykvC3QXJb18,2434200,115338,21895,26.050105411855355
48,How virtual reality can make every kid a capable scientist Jeremy Bailenson YouTube,https://www.youtube.com/watch?v=uHIUia-U5aA,11260,449,19,26.186046511627907
49,Political Extremism in America Don xe2 x80 x99t blame Russia blame Facebook and Twitter Niall Fergus,https://www.youtube.com/watch?v=tv9JpGc1dgY,20198,903,151,26.85904255319149
50,Classical Music for Kids YouTube,https://www.youtube.com/watch?v=uZ0NM_t5P0o,7693,283,0,27.18374558303887
51,A I Is Monitoring You Right Now and Here xe2 x80 x99s How It 39 s Using Your Data YouTube,https://www.youtube.com/watch?v=KpybityrXfs,119454,4601,213,27.2228805834093
52,Your Brain Is Hardwired for Love xe2 x80 x94Meditation Helps You Fully Express It Daniel Goleman You,https://www.youtube.com/watch?v=wGVGiiOEXyE,32508,1212,36,27.642857142857142
53,Revenge of the tribes How the American Empire could fall Amy Chua YouTube,https://www.youtube.com/watch?v=8LZ71c9VVn0,36620,1519,201,27.7845220030349
54,How Do You Know If You Have Depression YouTube,https://www.youtube.com/watch?v=baqXeUOcyJw,877397,31974,475,27.854757293882347
55,Penn Jillette on Libertarianism Taxes Trump Clinton and Weed YouTube,https://www.youtube.com/watch?v=nGAO100hYcQ,406413,16362,1858,28.020752895752896
56,Why incompetent people think they 39 re amazing David Dunning YouTube,https://www.youtube.com/watch?v=pOLmD_WVY-E,2185668,78936,1178,28.108593328017697
57,A New Asteroid Mining Mission YouTube,https://www.youtube.com/watch?v=SbdQXi7rKDw,177375,6340,32,28.119055168040582
58,What Does The Earth Look Like From Deep Space NO FLAT EARTHERS YouTube,https://www.youtube.com/watch?v=JVBlQ31FzJU,13757,594,112,28.54149377593361
59,How to ace the job interview question most people fail Michelle Lederman YouTube,https://www.youtube.com/watch?v=XoyL_y8M-ro,27131,1022,74,28.619198312236286
60,Why Your Self Image Might Be Wrong Ego Buddhism and Freud Mark Epstein YouTube,https://www.youtube.com/watch?v=NCBiEkHSy5k,73526,2636,126,29.293227091633465
61,To Grow a Big Business Place Smart Little Bets with Salman Khan YouTube,https://www.youtube.com/watch?v=EWUxH35mmGc,23857,814,0,29.308353808353807
62,What IS Fascism Really YouTube,https://www.youtube.com/watch?v=MdRA8arrhlc,25228,1035,180,29.50643274853801
63,How to detect baloney the Carl Sagan way Michael Shermer YouTube,https://www.youtube.com/watch?v=mn7jVTGjb-I,73405,2571,114,29.875864875864877
64,If You Want to Change the World Start Off by Making Your Bed William McRaven US Navy Admiral YouTube,https://www.youtube.com/watch?v=3sK3wJAxGfs,2479298,83544,763,29.950085164470106
65,What Your Home Says About You YouTube,https://www.youtube.com/watch?v=HY-E7l_Gfe4,247942,8414,231,30.299645606745692
66,What is good luck Weak Ties Theory Charlize Theron and luck circles Janice Kaplan YouTube,https://www.youtube.com/watch?v=V5kb3THKw90,19332,696,63,30.540284360189574
67,Why elementary schools should teach poker Liv Boeree YouTube,https://www.youtube.com/watch?v=McDb1l1GMwM,25295,907,79,30.54951690821256
68,Are Intelligent People More Lonely YouTube,https://www.youtube.com/watch?v=0lXX3dJUAGY,718330,24087,853,30.917190324524405
69,Richard Dawkins How I Persuade People Who Disagree with Me YouTube,https://www.youtube.com/watch?v=a8i6QCPg9Ks,134753,4554,244,31.265197215777263
70,Game theory Two key principles for winning negotiations Kevin Zollman YouTube,https://www.youtube.com/watch?v=Ub-st88OqHY,36338,1180,21,31.352890422778255
71,How religion turned American politics against science Kurt Andersen YouTube,https://www.youtube.com/watch?v=Yz8VbAxkaDw,159861,5741,650,31.40070713022982
72,Pro Gun Vs Anti Gun Is There Middle Ground YouTube,https://www.youtube.com/watch?v=3svs-nHtlNg,547203,17956,802,31.899440363763553
73,The Gun Debate Too Much Emotion Not Enough Data YouTube,https://www.youtube.com/watch?v=0WsGTEN1njw,27667,988,121,31.91118800461361
74,The Greatest Secret Of The Rich YouTube,https://www.youtube.com/watch?v=CL_4VRMZqF0,133705,4614,435,31.994496290978702
75,Richard Dawkins No Not All Opinions Are Equal xe2 x80 x94Elitism Lies and the Limits of Democracy Yo,https://www.youtube.com/watch?v=pe4feBH0ABk,425677,14585,1381,32.23848833686762
76,Facts Don 39 t Win Fights Here xe2 x80 x99s How to Cut Through Confirmation Bias Tali Sharot YouTube,https://www.youtube.com/watch?v=kyioZODhKbE,187546,6183,369,32.25765393876849
77,Why hierarchical power breeds paranoia Stalin Xi Jinping Macbeth Niall Ferguson YouTube,https://www.youtube.com/watch?v=Mh0MTzASYa0,22825,772,70,32.51424501424501
